Lead_ID,Opp_ID,Account_ID,Orgnisation,Phone,City,Full Name,Email ID,Status
LE-531-09903,OP-159-66099,ACC-623-34399,McCullough Inc,(+353)426515759,Limerick,Leonora Cometti,emorey0@list-manage.com,Active
LE-507-46106,OP-896-14896,ACC-157-20815,Weber Group,(+353)500414640,Cork,Matelda Cottham,rperott1@imgur.com,Active
LE-479-49953,OP-113-64205,ACC-966-12639,O'Keefe LLC,(+353)947842301,Maynooth,Nelle Brookshaw,cdumini2@rambler.ru,Active
LE-554-97497,OP-926-13621,ACC-959-54963,"McDermott, Bahringer and Gislason",(+353)782758015,Cork,Halsy Aireton,bcastellaccio3@ucsd.edu,Active
LE-054-33465,OP-818-28293,ACC-073-26469,Wehner Inc,(+353)835407324,Galway,Osbourn Postlethwaite,kbehagg4@xing.com,Active
LE-538-14152,OP-060-64111,ACC-168-12292,Feil Group,(+353)426166615,Galway,Hi Rohmer,lbevens5@ucsd.edu,Active
LE-452-27589,OP-773-01070,ACC-827-79187,Ernser and Sons,(+353)469419456,Belfast,Josh Guerrazzi,nlukasik6@vimeo.com,Active
LE-201-26087,OP-622-86144,ACC-073-02967,"Bogisich, Langosh and Walter",(+353)735066397,Dublin,Vittoria Folan,waddy7@weebly.com,Active
LE-340-71737,OP-579-05831,ACC-693-75775,Marvin-Keebler,(+353)359301433,Galway,Raoul ducarme,lbendle8@blogs.com,Active
LE-184-60823,OP-299-82882,ACC-495-10059,Homenick Group,(+353)814984220,Dublin,Caldwell Kenzie,urumgay9@istockphoto.com,Active
LE-365-34728,OP-664-69559,ACC-176-43150,Boyer-Frami,(+353)150613301,Dublin,Devan Mayte,jgalpina@lycos.com,Active
LE-920-65471,OP-876-66017,ACC-251-57964,Fay-Lueilwitz,(+353)676283624,Cork,Farrah Dmych,tjandlb@surveymonkey.com,Active
LE-169-04046,OP-180-26785,ACC-890-15504,"O'Kon, Hackett and Legros",(+353)662338982,Galway,Wes Dillet,clicencec@nasa.gov,Active
