Lead_ID,Opp_ID,Account_ID,Orgnisation,Phone,City,Full Name,Email ID,Status
LE-531-09903,OP-690-56387,ACC-318-79881,McCullough Inc,(+353)426515759,Limerick,Leonora Cometti,emorey0@list-manage.com,Active
LE-507-46106,OP-826-82955,ACC-530-89290,Weber Group,(+353)500414640,Cork,Matelda Cottham,rperott1@imgur.com,Active
LE-479-49953,OP-708-56841,ACC-945-71791,O'Keefe LLC,(+353)947842301,Maynooth,Nelle Brookshaw,cdumini2@rambler.ru,Active
LE-554-97497,OP-173-54718,ACC-891-53789,"McDermott, Bahringer and Gislason",(+353)782758015,Cork,Halsy Aireton,bcastellaccio3@ucsd.edu,Active
LE-054-33465,OP-492-77499,ACC-135-37146,Wehner Inc,(+353)835407324,Galway,Osbourn Postlethwaite,kbehagg4@xing.com,Active
LE-538-14152,OP-020-80167,ACC-566-68634,Feil Group,(+353)426166615,Galway,Hi Rohmer,lbevens5@ucsd.edu,Active
LE-452-27589,OP-925-72989,ACC-729-20501,Ernser and Sons,(+353)469419456,Belfast,Josh Guerrazzi,nlukasik6@vimeo.com,Active
LE-201-26087,OP-262-81966,ACC-732-58728,"Bogisich, Langosh and Walter",(+353)735066397,Dublin,Vittoria Folan,waddy7@weebly.com,Active
LE-340-71737,OP-419-90171,ACC-837-08201,Marvin-Keebler,(+353)359301433,Galway,Raoul ducarme,lbendle8@blogs.com,Active
LE-184-60823,OP-171-53545,ACC-369-77973,Homenick Group,(+353)814984220,Dublin,Caldwell Kenzie,urumgay9@istockphoto.com,Active
LE-365-34728,OP-194-86664,ACC-415-62594,Boyer-Frami,(+353)150613301,Dublin,Devan Mayte,jgalpina@lycos.com,Active
LE-920-65471,OP-885-73596,ACC-631-57409,Fay-Lueilwitz,(+353)676283624,Cork,Farrah Dmych,tjandlb@surveymonkey.com,Active
LE-169-04046,OP-372-58981,ACC-057-02482,"O'Kon, Hackett and Legros",(+353)662338982,Galway,Wes Dillet,clicencec@nasa.gov,Active
LE-952-74716,OP-687-67970,ACC-987-68816,Emmerich-Smitham,(+353)491608011,Galway,Florina Pinches,drohlfsd@forbes.com,Active
LE-856-96192,OP-108-91685,ACC-118-78067,Mertz-Huels,(+353)941625431,Belfast,Husain Clackers,mbushere@com.com,Active
LE-665-99388,OP-030-66102,ACC-127-62190,Lockman Inc,(+353)755084843,Galway,Carolyne Mallett,crubinlichtf@discuz.net,Active
LE-316-29541,OP-694-93253,ACC-038-47975,"Stoltenberg, Pacocha and Brekke",(+353)828939853,Belfast,Mair Cosgrave,adeavesg@fastcompany.com,Active
LE-995-06192,OP-173-03446,ACC-112-25161,"Hane, Feeney and Herzog",(+353)889856094,Belfast,Lynett Cundict,mmarlowh@nydailynews.com,Active
LE-310-72978,OP-631-21449,ACC-757-35507,Larson LLC,(+353)702562801,Belfast,Erminie Smees,rcarmonti@google.fr,Active
LE-689-85994,OP-036-12333,ACC-336-37337,Fisher LLC,(+353)855567805,Belfast,Lizzie Matula,ksnelgrovej@jalbum.net,Active
LE-660-83151,OP-608-83560,ACC-126-85056,"Grady, Kuphal and Kessler",(+353)200935724,Maynooth,Clementia Lygo,cbucherk@google.ca,Active
LE-109-03173,OP-632-68884,ACC-294-25438,Fisher-Bartoletti,(+353)574265371,Cork,Aloisia Binch,dtumilityl@amazon.de,Active
LE-935-62365,OP-912-13615,ACC-772-09788,Ortiz LLC,(+353)953607617,Maynooth,Sherlock Shory,wbelshamm@squidoo.com,Active
LE-791-15984,OP-726-85494,ACC-637-44337,Moen-Kuvalis,(+353)747020932,Galway,Bradan Holleworth,emackereln@ucoz.ru,Active
LE-153-50281,OP-584-64719,ACC-240-04750,"Mills, Bernier and Nienow",(+353)547835528,Galway,Lotte Fowlds,fdegregorioo@sohu.com,Active
LE-942-45831,OP-376-52470,ACC-871-50978,"Mayert, Heidenreich and Von",(+353)857311083,Maynooth,Loretta Figgess,agoodhallp@sun.com,Active
LE-939-39135,OP-979-48253,ACC-371-89211,Kautzer-Ferry,(+353)683757564,Dublin,Ramsay Pepineaux,rvalderq@clickbank.net,Active
LE-067-99135,OP-501-03353,ACC-991-26563,Hyatt LLC,(+353)164138716,Cork,Rudolf Wibberley,adominichellir@buzzfeed.com,Active
LE-167-36851,OP-579-68574,ACC-613-42657,"Rogahn, Gottlieb and Bernier",(+353)056463647,Galway,Kareem Rushman,jlivingstons@wikispaces.com,Active
LE-774-20582,OP-909-42448,ACC-636-78381,Kuhlman LLC,(+353)202806989,Limerick,Cally Kullmann,ageekiet@buzzfeed.com,Active
LE-602-62064,OP-402-67681,ACC-874-22890,Veum-Kunze,(+353)618616259,Cork,Manfred Plait,sdobbinsu@unc.edu,Active
LE-301-53723,OP-849-26212,ACC-571-62800,"Bashirian, Nader and Johnston",(+353)369819718,Belfast,Rhoda Loftus,dhalloranv@ca.gov,Active
LE-867-84638,OP-921-60481,ACC-138-80430,"Breitenberg, Bednar and Mitchell",(+353)064083861,Galway,Judi Zupone,escourfieldw@homestead.com,Active
LE-308-65296,OP-231-33514,ACC-197-11803,Kirlin and Sons,(+353)984386406,Maynooth,Marta Labell,fbernotx@icq.com,Active
LE-899-55733,OP-349-35719,ACC-590-74776,Luettgen-Cruickshank,(+353)469392358,Dublin,Rianon Drews,btremmely@state.gov,Active
LE-079-08583,OP-893-16960,ACC-682-43471,"Runolfsdottir, Lind and Roberts",(+353)475298372,Dublin,Delphinia Askwith,lmuxworthyz@ifeng.com,Active
LE-647-86404,OP-076-49401,ACC-447-14776,Quitzon-Blanda,(+353)578935516,Maynooth,Henderson Bowcock,vtheseira10@1und1.de,Active
LE-856-41325,OP-666-97724,ACC-031-24088,Hand Inc,(+353)046808715,Maynooth,Lillian Shwenn,jbynold11@ox.ac.uk,Active
LE-636-40511,OP-341-28355,ACC-392-52451,Hane Inc,(+353)312414564,Limerick,Rafael Bunnell,sbanasevich12@elpais.com,Active
LE-806-34670,OP-566-01055,ACC-910-58442,Shanahan-Senger,(+353)504461177,Maynooth,Fifi Solman,eaddlestone13@prweb.com,Active
LE-497-01919,OP-270-17803,ACC-452-83445,"Mayert, Mills and Langosh",(+353)158652474,Dublin,Lamond Gleadle,cprothero14@virginia.edu,Active
LE-152-60786,OP-866-42160,ACC-987-08123,"Botsford, Nolan and Pouros",(+353)527510744,Galway,Almeda Govenlock,acostard15@booking.com,Active
LE-421-28694,OP-813-89802,ACC-041-95604,"Cruickshank, Bauch and Cummings",(+353)269861506,Limerick,Ree Docwra,bhoulston16@360.cn,Active
LE-514-52971,OP-149-84860,ACC-347-00665,Muller-O'Reilly,(+353)017429674,Cork,Orelie Houlson,ssutherden17@nytimes.com,Active
LE-462-93759,OP-376-43953,ACC-076-63616,"Koelpin, Prosacco and Donnelly",(+353)417899415,Belfast,Warden Buske,sseakin18@squarespace.com,Active
LE-185-98997,OP-545-44110,ACC-163-49564,Jaskolski-Kulas,(+353)493601992,Limerick,Shandee Karpenko,aclapshaw19@ow.ly,Active
LE-758-36366,OP-871-72251,ACC-662-75454,Schimmel-DuBuque,(+353)640651171,Belfast,Kayle Toothill,dleythley1a@redcross.org,Active
LE-611-37778,OP-405-26114,ACC-402-08138,"Weimann, Anderson and Collins",(+353)396220050,Maynooth,Hildagarde Heckle,mhickenbottom1b@guardian.co.uk,Active
LE-980-06089,OP-535-96025,ACC-343-54540,Bergnaum Inc,(+353)731070696,Cork,Deerdre Vaines,npayze1c@cpanel.net,Active
LE-517-46372,OP-601-84308,ACC-458-53009,Bergnaum and Sons,(+353)945857548,Belfast,Arleyne Fonquernie,mduchart1d@tuttocitta.it,Active
LE-846-71792,OP-520-52554,ACC-023-80750,"Hauck, Cormier and Schuster",(+353)704006078,Cork,Lazare Marien,rorwin1e@salon.com,Active
LE-225-66344,OP-569-03254,ACC-428-93427,O'Hara Group,(+353)552153668,Belfast,Veradis Odlin,khuyton1f@cyberchimps.com,Active
LE-138-31757,OP-249-91559,ACC-364-46167,"Cummings, Marks and Durgan",(+353)592602668,Cork,Rafaellle Cassel,egough1g@slate.com,Active
LE-719-09113,OP-950-09527,ACC-102-54373,"Williamson, Jast and Mueller",(+353)410465357,Belfast,Dotti Concklin,hwiggin1h@cam.ac.uk,Active
LE-371-44002,OP-907-70019,ACC-115-73402,Trantow-Conn,(+353)127692720,Dublin,Rebekkah Mizzen,ldomesday1i@businesswire.com,Active
LE-773-95651,OP-170-48424,ACC-820-34996,Collier LLC,(+353)885975437,Maynooth,Man McRorie,drosin1j@infoseek.co.jp,Active
LE-025-79369,OP-033-13922,ACC-668-22539,Bednar Inc,(+353)740008613,Maynooth,Regina Pender,mprice1k@army.mil,Active
LE-285-51112,OP-522-14562,ACC-521-61716,Heathcote Inc,(+353)303339125,Dublin,Letty Alywin,kdinnis1l@csmonitor.com,Active
LE-012-82159,OP-421-02594,ACC-782-70646,Lemke-Tromp,(+353)393014838,Maynooth,Henka Trinkwon,scutchee1m@symantec.com,Active
LE-385-28694,OP-687-70767,ACC-290-31865,Cruickshank Inc,(+353)944573449,Belfast,Othelia Pelling,bposnett1n@google.com,Active
LE-191-80671,OP-021-02587,ACC-761-17714,Schaefer-Rolfson,(+353)120128648,Limerick,Celestina Benardet,ablockley1o@prweb.com,Active
LE-787-16582,OP-852-36363,ACC-226-22607,"Kuhic, Monahan and Champlin",(+353)749677094,Belfast,Tibold Kempe,dwylam1p@microsoft.com,Active
LE-883-02853,OP-471-75246,ACC-000-51871,"Kling, Kuhic and O'Hara",(+353)383977306,Belfast,Janine Alexis,nscandred1q@ustream.tv,Active
LE-864-84374,OP-678-14038,ACC-309-32164,Kub LLC,(+353)846879289,Limerick,Bobbi Revett,icottam1r@wired.com,Active
LE-552-71854,OP-097-52407,ACC-440-34133,Runolfsdottir-Walker,(+353)107787589,Cork,Drusy Beedom,njoll1s@forbes.com,Active
